No.        Matricula    Nombre          Ap. Paterno          Ao. Materno     Sexo       Posicion   Estado   Edad  Num. Cel  
87         300297       NATALIA         SANDOVAL             LEAL            MUJER      EspRRHH    DG         44    6461018431   
88         300310       ROBERTO         SALAZAR              URIBE           HOMBRE     EspRRHH    MC         42    6461029569   
89         300311       MARIO           CERVANTES            BAUTISTA        HOMBRE     RepVInt    MS         21    6461010044   
90         300319       ROBERTO         OSORIO               ALVAREZ         HOMBRE     Arquitect  CL         33    6461001038   
91         300323       MARiA           LEAL                 MENENDEZ        MUJER      ProfPrim   JC         19    6461030996   
92         300326       ARMANDO         TORRES               RIVERA          HOMBRE     IngRed     NT         21    6461030595   
93         300347       JORGE           GOMEZ                SOTO            HOMBRE     AsistAdm   HG         45    6461013896   
94         300349       EDUARDO         SOSA                 ARIAS           HOMBRE     ConsFin    YN         34    6461012779   
95         300377       MANUEL          GONZALES             GUERRERO        HOMBRE     AnlVent    GR         20    6461007384   
96         300381       ALEJANDRO       LARA                 MENDOZA         HOMBRE     MedGen     PL         37    6461002919   
97         300389       GLORIA          ROMERO               REYES           MUJER      ProfPrim   BC         29    6461011320   
98         300401       MIGUEL          HERRERA              MACIAS          HOMBRE     IngCivil   NE         39    6461028305   
99         300410       ISRAEL          CASTILLO             MORA            HOMBRE     InvCien    DF         50    6461023147   
100        300442       NATALIA         CHACON               PARDO           MUJER      DisUX      QR         39    6461001938   
101        300445       ISRAEL          ESTRELLA             VARELA          HOMBRE     DevSoft    MN         49    6461004349   
102        300454       GABRIELA        LEAL                 MERCADO         MUJER      IngElec    NT         25    6461021799   
103        300466       ADRIANA         SOTO                 MEDINA          MUJER      ChefEje    NT         33    6461014423   
104        300469       PILAR           OSORIO               DURAN           MUJER      DevSoft    MS         48    6461008206   
105        300482       SALVADOR        CABRERA              MORENO          HOMBRE     EspSeg     NT         41    6461020911   
106        300486       GLORIA          TOVAR                SERRANO         MUJER      EspLog     CS         37    6461014949   
107        300491       ADRIANA         ESTRELLA             GUZMAN          MUJER      ConsFin    NL         30    6461021133   
108        300498       EMILIO          GUZMAN               LOPEZ           HOMBRE     GteProj    BC         28    6461031211   
109        300504       RAUL            DELGADO              OCHOA           HOMBRE     GteProj    DF         24    6461016697   
110        300506       FERNANDO        VARELA               MERCADO         HOMBRE     EspERen    SP         34    6461025921   
111        300510       JAVIER          ALVARADO             ORTIZ           HOMBRE     PsOrg      AG         49    6461009913   
112        300511       ROSA            SALAZAR              CORDERO         MUJER      DisUX      HG         47    6461009400   
113        300512       SILVIA          DIAZ                 CERVANTES       MUJER      EdCont     CH         18    6461012135   
114        300524       ARTURO          ESPINOZA             ESPINOZA        HOMBRE     AsServ     SP         26    6461011939   
115        300540       SOFIA           SOLIS                GOMEZ           MUJER      DisGraf    AG         40    6461025764   
116        300549       PILAR           BELTRAN              ESCOBAR         MUJER      EspSeg     CC         26    6461032184   
117        300569       ISABEL          RIOS                 SOTO            MUJER      EspLog     HG         40    6461027619   
118        300575       PAULA           GARZA                CORDERO         MUJER      IngElec    CL         26    6461015433   
119        300584       ISRAEL          ROJAS                REYES           HOMBRE     TrabSoc    DF         40    6461013366   
120        300619       EMILIO          SALAZAR              SOTO            HOMBRE     Abogado    NE         35    6461024534   
121        300620       MARiA           SOSA                 SUAREZ          MUJER      AnMktDg    SP         20    6461000276   
122        300639       DANIEL          ESTRELLA             CONTRERAS       HOMBRE     Contado    OC         39    6461003652   
123        300650       MANUEL          ESPINOSA             LEON            HOMBRE     AnlDatos   NL         33    6461007805   
124        300657       CONSUELO        OSORIO               QUINTERO        MUJER      AnlDatos   GT         38    6461015511   
125        300670       SONIA           GUERRERO             CERVANTES       MUJER      Enferm     HG         26    6461023861   
126        300677       SOFIA           CAMACHO              VARELA          MUJER      RepVInt    TC         46    6461029304   
127        300680       ANA             ROMAN                VALDES          MUJER      TrabSoc    TS         44    6461028641   
128        300686       LUIS            BELTRAN              MERCADO         HOMBRE     Contado    SR         27    6461009709   
129        300703       RAUL            ZAMORA               ARIAS           HOMBRE     Enferm     MC         20    6461030349   
130        300727       VICTORIA        PACHECO              CRUZ            MUJER      Traduct    ZS         37    6461027253   
131        300728       ISABEL          MOLINA               VEGA            MUJER      DevSoft    SL         32    6461004270   
132        300734       RAUL            GUZMAN               VALDES          HOMBRE     AsistAdm   VZ         23    6461027903   
133        300752       CARMEN          CAMACHO              CERVANTES       MUJER      AnMktDg    PL         19    6461018724   
134        300765       ENRIQUE         HERNANDEZ            GARZA           HOMBRE     ChefEje    CS         20    6461027190   
135        300766       CONSUELO        HERRERA              MACIAS          MUJER      AnlSist    NE         46    6461018715   
136        300770       RAUL            VEGA                 ROJAS           HOMBRE     Abogado    PL         30    6461015130   
137        300777       EMILIO          ORTIZ                CERVANTES       HOMBRE     ProfPrim   MS         46    6461027398   
138        300796       CARLOS          BARRIOS              CABRERA         HOMBRE     EspSeg     PL         33    6461023373   
139        300797       ERNESTO         ROMAN                DIAZ            HOMBRE     DevSoft    YN         30    6461022153   
140        300802       LUIS            ESTRELLA             FLORES          HOMBRE     AnlVent    DF         21    6461029241   
141        300808       ALEJANDRO       CASILLAS             RIVERA          HOMBRE     AnlVent    CS         23    6461007096   
142        300812       SILVIA          CERVANTES            PARDO           MUJER      AnlSist    NE         26    6461015893   
143        300826       VICTORIA        SANDOVAL             GUERRERO        MUJER      Abogado    YN         20    6461012599   
144        300838       RICARDO         GUZMAN               GARZA           HOMBRE     Traduct    JC         45    6461031688   
145        300848       RAQUEL          SALAZAR              JIMENEZ         MUJER      IngRed     TS         41    6461032560   
146        300872       FRANCISCO       VALDES               AGUILAR         HOMBRE     MedGen     QR         22    6461031232   
147        300881       GUILLERMO       SOTO                 VALENCIA        HOMBRE     RepVInt    TL         38    6461018940   
148        300886       PATRICIA        GONZALES             RAMIREZ         MUJER      EspSeg     VZ         30    6461019532   
149        300896       MANUEL          CRUZ                 VALDES          HOMBRE     AsServ     SL         41    6461031332   
150        300921       GLORIA          ROLDAN               TOVAR           MUJER      ProfPrim   NL         23    6461023905   
151        300931       GABRIELA        MORENO               CABRERA         MUJER      EdCont     QT         31    6461001460   
152        300935       JOSE            SOLANO               MIRANDA         HOMBRE     EspRRHH    TS         35    6461014614   
153        300940       PAULA           BARRIOS              MENDOZA         MUJER      TecSup     BS         46    6461018493   
154        300952       MARTA           LOPEZ                ESPINOZA        MUJER      DisGraf    OC         39    6461021788   
155        300956       ANTONIO         ESCOBAR              OSORIO          HOMBRE     EspLog     SL         18    6461008406   
156        300967       OSCAR           PENA                 QUINTERO        HOMBRE     ConsFin    ZS         20    6461005241   
157        300995       DANIEL          CASTANEDA            MENENDEZ        HOMBRE     Contado    HG         25    6461018429   
158        300999       JULIA           MACIEL               RAMIREZ         MUJER      MedGen     YN         28    6461026342   
159        301003       MARiA           NUNEZ                CASILLAS        MUJER      TecSup     SP         49    6461013119   
160        301004       BEATRIZ         SOTO                 LARA            MUJER      InvCien    TL         28    6461030823   
161        301005       JULIA           VASQUEZ              ZAMORA          MUJER      IngElec    SR         23    6461005397   
162        301031       BEATRIZ         CERVANTES            VALENCIA        MUJER      ProfPrim   NL         41    6461001502   
163        301034       EDUARDO         RIOS                 LOPEZ           HOMBRE     AnMktDg    OC         33    6461007079   
164        301044       ENRIQUE         CASTANEDA            ROJAS           HOMBRE     TecSup     DG         28    6461000657   
165        301047       SALVADOR        MERCADO              NUNEZ           HOMBRE     AsServ     TL         28    6461010905   
166        301078       ARTURO          ROMERO               MACIAS          HOMBRE     EspERen    DF         47    6461031417   
167        301102       PILAR           MACIEL               BAUTISTA        MUJER      AnlVent    CL         33    6461032098   
168        301104       EMILIO          BARRIOS              ROMERO          HOMBRE     ProfPrim   TC         44    6461030253   
169        301116       CARMEN          CABRERA              LARA            MUJER      ConsFin    JC         33    6461031154   
170        301122       LOURDES         CRUZ                 VALDES          MUJER      TrabSoc    SR         27    6461020423   
171        301123       JULIA           NUNEZ                RUBIO           MUJER      EspRRHH    SL         39    6461031899   
172        301140       SUSANA          CASTILLO             GUZMAN          MUJER      InvCien    SP         34    6461020252   
173        301145       JOSE            ORTIZ                ALVAREZ         HOMBRE     ChefEje    TL         38    6461030655   
174        301160       SONIA           REYES                CABRERA         MUJER      Contado    DG         19    6461011095   
175        301164       NATALIA         GUZMAN               AGUILAR         MUJER      DevSoft    MC         42    6461027748   
176        301174       BEATRIZ         CERVANTES            ESPINOSA        MUJER      TecSup     SR         46    6461024329   
177        301178       SUSANA          RAMIREZ              JIMENEZ         MUJER      EspRRHH    GR         49    6461012407   
178        301195       JULIA           MENENDEZ             VALENZUELA      MUJER      DisGraf    VZ         47    6461030951   
179        301196       ALBERTO         SOSA                 ESTRELLA        HOMBRE     Contado    NT         20    6461004311   
180        301204       JUAN            DURAN                SOLANO          HOMBRE     EdCont     VZ         36    6461011915   
181        301207       VICTORIA        ROLDAN               MENDEZ          MUJER      DisGraf    CS         30    6461001471   
182        301211       LUIS            SOTO                 PENA            HOMBRE     ConsFin    CC         38    6461018606   
183        301214       AURORA          OCHOA                PACHECO         MUJER      AnlVent    SP         47    6461030835   
184        301217       CARLOS          VILLANUEVA           VILLANUEVA      HOMBRE     EspLog     MC         38    6461000694   
185        301227       GABRIELA        QUINTERO             RAMIREZ         MUJER      IngRed     DF         34    6461032553   
186        301236       PILAR           ROSALES              SUAREZ          MUJER      ConsFin    CM         35    6461021408   
187        301238       LOURDES         RIVERA               ROJAS           MUJER      Enferm     PL         19    6461004235   
188        301239       ELENA           ALVAREZ              CERVANTES       MUJER      Abogado    NT         26    6461005103   
189        301250       GLORIA          SILVA                IGLESIAS        MUJER      AnMktDg    MS         45    6461001689   
190        301252       MERCEDES        SOTO                 VALDES          MUJER      AsServ     OC         37    6461016734   
191        301259       MARIO           REYES                MEDINA          HOMBRE     Contado    MS         22    6461005224   
192        301270       JUAN            TOVAR                ARIAS           HOMBRE     AsServ     SR         37    6461030751   
193        301275       PATRICIA        FERNANDEZ            MACIEL          MUJER      EspSeg     OC         34    6461004735   
194        301291       SUSANA          CONTRERAS            FERNANDEZ       MUJER      IngCivil   MC         18    6461032729   
195        301300       MANUEL          PENA                 HERNANDEZ       HOMBRE     AnMktDg    CH         29    6461021418   
196        301315       MARIO           PARDO                SOTO            HOMBRE     IngRed     DG         25    6461025523   
197        301327       ARTURO          OCHOA                ESPINOSA        HOMBRE     DisUX      ZS         42    6461017378   
198        301330       RAQUEL          VILLANUEVA           MACIEL          MUJER      DisGraf    QR         27    6461009056   
199        301339       MARiA           RIVERA               URIBE           MUJER      DevSoft    NE         29    6461030549   
200        301346       ALEJANDRO       AGUILAR              SOLIS           HOMBRE     AnMktDg    NT         39    6461014243   
201        301370       MARiA           CALZADA              ROSALES         MUJER      AnMktDg    NL         37    6461006197   
202        301399       LAURA           MORENO               ORTIZ           MUJER      TrabSoc    OC         50    6461014618   
203        301407       LUIS            URIBE                MUNGUIA         HOMBRE     DisUX      VZ         28    6461002088   
204        301408       EDUARDO         MORA                 MENENDEZ        HOMBRE     IngElec    MN         35    6461022550   
205        301411       MIGUEL          GUERRERO             REYES           HOMBRE     Abogado    TS         27    6461031793   
206        301424       JORGE           URIBE                HERNANDEZ       HOMBRE     InvCien    TS         26    6461010179   
207        301432       BEATRIZ         CASTILLO             MEDINA          MUJER      DisUX      BS         30    6461011282   
208        301442       SUSANA          TORRES               LEON            MUJER      AsistAdm   AG         38    6461017224   
209        301446       MARIO           SERRANO              MERCADO         HOMBRE     DisGraf    TS         19    6461001827   
210        301459       DANIEL          VASQUEZ              ARIAS           HOMBRE     DisUX      YN         29    6461023982   
211        301461       ROBERTO         RIOS                 CERVANTES       HOMBRE     EspRRHH    BS         44    6461030205   
212        301474       LOURDES         RIOS                 VALENCIA        MUJER      EspRRHH    CL         28    6461009443   
213        301479       LOURDES         RAMIREZ              DURAN           MUJER      AnlSist    BC         26    6461017353   
214        301488       JOSE            ESPINOSA             CASTANEDA       HOMBRE     DisUX      CS         38    6461021234   
215        301494       BEATRIZ         OCHOA                VASQUEZ         MUJER      GteProj    BC         29    6461029653   
216        301499       JAVIER          LOPEZ                SANDOVAL        HOMBRE     DisUX      VZ         20    6461030104   
217        301512       PAULA           PARDO                LARA            MUJER      TecSup     VZ         48    6461032326   
218        301525       CARLOS          BARRIOS              ESPINOSA        HOMBRE     EspERen    DF         32    6461009208   
219        301533       ERNESTO         RIVERA               LARA            HOMBRE     IngRed     TC         38    6461001757   
220        301534       ALBERTO         HERNANDEZ            CASTILLO        HOMBRE     IngRed     SR         24    6461013474   
221        301570       JORGE           BAUTISTA             SOTO            HOMBRE     GteProj    CC         34    6461019161   
222        301583       SOFIA           CRUZ                 RAMIREZ         MUJER      Traduct    TS         21    6461010357   
223        301614       ROBERTO         SILVA                ALVARADO        HOMBRE     DisGraf    NE         46    6461003140   
224        301616       SOFIA           MIRANDA              DELGADO         MUJER      ProfPrim   HG         19    6461020533   
225        301619       LAURA           ESTRELLA             VASQUEZ         MUJER      IngElec    HG         27    6461019434   
226        301636       PAULA           CAMACHO              DIAZ            MUJER      EspSeg     HG         23    6461015975   
227        301643       ALEJANDRA       NUNEZ                SUAREZ          MUJER      AnMktDg    TS         46    6461007029   
228        301651       NATALIA         SANDOVAL             SERRANO         MUJER      Traduct    AG         29    6461024327   
229        301655       NATALIA         GUERRERO             SILVA           MUJER      EspRRHH    GT         41    6461002836   
230        301672       RICARDO         IGLESIAS             LEON            HOMBRE     ProfPrim   QR         45    6461014565   
231        301705       SALVADOR        GUZMAN               ARIAS           HOMBRE     Enferm     BS         30    6461004273   
232        301709       PAULA           SANDOVAL             HERNANDEZ       MUJER      RepVInt    SP         47    6461022629   
233        301710       CLARA           ROMAN                MENDEZ          MUJER      Enferm     YN         39    6461009351   
234        301711       PATRICIA        ARIAS                RIVERA          MUJER      Enferm     QR         48    6461025896   
235        301717       LUIS            VALDES               MACIAS          HOMBRE     AnlSist    CL         36    6461031442   
236        301733       ISRAEL          SOTO                 OCHOA           HOMBRE     ConsFin    NE         49    6461002034   
237        301752       CONSUELO        VALENCIA             IGLESIAS        MUJER      AnlSist    GT         45    6461017167   
238        301761       ANTONIA         OSORIO               LEAL            MUJER      TecSup     SR         33    6461025516   
239        301773       MARiA           HIDALGO              FERNANDEZ       MUJER      InvCien    TL         35    6461031284   
240        301784       SILVIA          CASTANEDA            SOTO            MUJER      TecSup     BS         18    6461017135   
241        301785       MERCEDES        MENDEZ               URIBE           MUJER      IngRed     MC         20    6461000524   
242        301803       PATRICIA        FLORES               MORENO          MUJER      Traduct    NL         38    6461011448   
243        301807       ALBERTO         ROSALES              CERVANTES       HOMBRE     PsOrg      DG         28    6461010145   
244        301825       LOURDES         CRUZ                 SOLIS           MUJER      EspERen    QT         18    6461014659   
245        301832       MARiA           ROLDAN               FLORES          MUJER      IngCivil   BS         46    6461003704   
246        301852       SOFIA           ESPINOZA             GOMEZ           MUJER      Abogado    SR         30    6461021631   
247        301863       MERCEDES        TOVAR                ESTRELLA        MUJER      DevSoft    QR         26    6461013234   
248        301866       MARIO           ROLDAN               MOLINA          HOMBRE     Arquitect  GT         18    6461015638   
249        301867       ELENA           VALENZUELA           VALENCIA        MUJER      Traduct    CL         44    6461026776   
250        301887       DANIEL          LOPEZ                VALENCIA        HOMBRE     MedGen     BC         40    6461002620   
251        301889       MIGUEL          VARELA               CRUZ            HOMBRE     DevSoft    MN         28    6461019625   
252        301897       ISRAEL          ROLDAN               SERRANO         HOMBRE     ChefEje    MS         43    6461008658   
253        301899       DANIEL          HIDALGO              VALENCIA        HOMBRE     AsServ     CH         49    6461008011   
254        301901       PEDRO           CORDERO              MERCADO         HOMBRE     Contado    NL         23    6461017916   
255        301915       MARTA           ZAMORA               SOSA            MUJER      GteProj    CS         35    6461003148   
256        301922       ISABEL          VALDES               ROMAN           MUJER      TecSup     QT         19    6461027103   
257        301933       HECTOR          IGLESIAS             MORENO          HOMBRE     ProfPrim   CM         22    6461009735   
258        301939       ARTURO          ROMERO               GUERRERO        HOMBRE     DevSoft    SP         29    6461029385   
259        301955       PAULA           MORA                 JIMENEZ         MUJER      IngRed     CS         34    6461001060   
260        301958       JOSE            OSORIO               AGUILAR         HOMBRE     GteProj    HG         24    6461008561   
261        301962       JORGE           CASILLAS             GARZA           HOMBRE     ProfPrim   MN         44    6461019758   
262        301966       EMILIO          OSORIO               CASTILLO        HOMBRE     EdCont     HG         25    6461011595   
263        302022       GABRIELA        LARA                 VEGA            MUJER      AnlSist    HG         46    6461023259   
264        302035       RAUL            PARDO                MALDONADO       HOMBRE     AnlDatos   DF         50    6461018469   
265        302036       EMILIO          VALENCIA             FLORES          HOMBRE     EdCont     OC         38    6461011367   
266        302042       JAVIER          SUAREZ               DELGADO         HOMBRE     TrabSoc    JC         26    6461012371   
267        302080       GLORIA          RIOS                 MENDEZ          MUJER      IngElec    NL         23    6461019188   
268        302084       CLARA           MOLINA               VALDES          MUJER      ChefEje    ZS         31    6461024276   
269        302087       ANTONIA         LEON                 PAREDES         MUJER      Traduct    BS         29    6461029477   
270        302094       EDUARDO         MENENDEZ             BARRIOS         HOMBRE     EspLog     SR         27    6461019128   
271        302101       ENRIQUE         LARA                 VILLANUEVA      HOMBRE     TrabSoc    JC         42    6461025493   
272        302159       SALVADOR        FERNANDEZ            SOTO            HOMBRE     IngCivil   MN         24    6461003514   
273        302209       CARMEN          PENA                 MALDONADO       MUJER      MedGen     BC         23    6461000489   
274        302215       ROBERTO         VALDES               PAREDES         HOMBRE     EspSeg     TL         46    6461005556   
275        302232       CARMEN          BAUTISTA             GUERRERO        MUJER      InvCien    CL         19    6461024370   
276        302234       JOSE            CASILLAS             CRUZ            HOMBRE     TrabSoc    PL         38    6461010420   
277        302251       GUILLERMO       SERRANO              LARA            HOMBRE     Traduct    SP         44    6461001326   
278        302255       GLORIA          ROJAS                DELGADO         MUJER      Arquitect  YN         35    6461004598   
279        302285       ADRIANA         MACIAS               CERVANTES       MUJER      DevSoft    TL         46    6461030323   
280        302291       ARTURO          ROJAS                VALENCIA        HOMBRE     AnlSist    VZ         23    6461004250   
281        302294       RAQUEL          VALENZUELA           BARRIOS         MUJER      DisGraf    QR         38    6461021504   
282        302298       MARIO           MENDEZ               CERVANTES       HOMBRE     ProfPrim   CM         19    6461007413   
283        302307       CLARA           MENENDEZ             GUERRERO        MUJER      AnlDatos   VZ         35    6461001345   
284        302334       MARTA           ROMAN                ARIAS           MUJER      Contado    DG         19    6461010320   
285        302344       SONIA           MOLINA               VALENZUELA      MUJER      EspERen    VZ         26    6461006484   
286        302346       GABRIELA        CERVANTES            ORTIZ           MUJER      EdCont     SR         40    6461006619   
287        302349       ROSA            RIVERA               BARRIOS         MUJER      EdCont     QR         40    6461004139   
288        302349       ROSA            VALENZUELA           GOMEZ           MUJER      IngRed     MC         26    6461014701   
289        302358       SONIA           SANDOVAL             MOLINA          MUJER      MedGen     YN         33    6461021944   
290        302364       ARMANDO         CASTANEDA            NUNEZ           HOMBRE     EspRRHH    DF         36    6461008100   
291        302368       CLARA           CERVANTES            CAMACHO         MUJER      ConsFin    HG         36    6461014489   
292        302375       BEATRIZ         MUNGUIA              CAMACHO         MUJER      DisUX      BC         42    6461031113   
293        302379       JUAN            ROMERO               CABRERA         HOMBRE     Arquitect  TL         44    6461011741   
294        302388       ARTURO          SERRANO              SOSA            HOMBRE     TrabSoc    ZS         44    6461020546   
295        302402       ROSA            BAUTISTA             CASILLAS        MUJER      EspSeg     HG         39    6461003598   
