No.    Matricula  Ape Paterno     Ape Materno     Nombre     Fecha de Nacimiento Edad  Sexo  CURP
90     331029     VILLANUEVA      CABRERA         ROBERTO    26-01-1938          85   Hombre VICR380126HTLLBB09
91     331097     MACIAS          VEGA            RAUL       22-03-1976          47   Hombre MAVR760322HNTCGL01
92     331266     LEAL            CASTILLO        ANA        27-07-2023           0    Mujer LECA230727MPLLSNC5
93     331453     HIDALGO         CALZADA         ANA        15-02-1948          75    Mujer HICA480215MQTDLN00
94     331524     CASTILLO        OSORIO          SALVADOR   14-12-1917         105   Hombre CAOS171214HHGSSL07
95     331897     VALENCIA        SOTO            MARTA      26-12-1945          77    Mujer VASM451226MQRLTR02
96     331925     VALENCIA        CAMACHO         ISRAEL     16-10-1986          37   Hombre VACI861016HSLLMS01
97     332351     ALVAREZ         DELGADO         MIGUEL     22-10-1959          64   Hombre AADM591022HVZLLG00
98     332545     PACHECO         ROLDAN          CLARA      28-01-1918         105    Mujer PARC180128MTCCLL02
99     332579     GUZMAN          CASTILLO        ANTONIA    26-07-1914         109    Mujer GUCA140726MSPZSN08
100    332629     SOTO            ROJAS           ANTONIA    27-11-1911         112    Mujer SORA111127MPLTJN02
101    372781     PEREZ           VENTURA         BRAYAN IVAN 01-04-2003          20   Hombre PEVB030401HBCRNRA3
102    372782                                     BRAYAN IVAN 01-04-2003          20   Hombre XXXB030401HBCXXRA5
